DateTime,open,close,high,low
2022-03-24 08:30:05,445.5,445.46,445.51,445.45
2022-03-24 08:30:10,445.46,445.43,445.48,445.4
2022-03-24 08:30:15,445.43,445.48,445.51,445.42
2022-03-24 08:30:20,445.48,445.47,445.5,445.42
2022-03-24 08:30:25,445.47,445.37,445.49,445.37
2022-03-24 08:30:30,445.37,445.24,445.39,445.23
2022-03-24 08:30:35,445.24,445.29,445.31,445.24
2022-03-24 08:30:40,445.29,445.29,445.3,445.24
2022-03-24 08:30:45,445.29,445.24,445.31,445.22
2022-03-24 08:30:50,445.24,445.28,445.29,445.22
2022-03-24 08:30:55,445.28,445.41,445.41,445.28
2022-03-24 08:31:00,445.41,445.57,445.65,445.41
2022-03-24 08:31:05,445.57,445.58,445.71,445.57
2022-03-24 08:31:10,445.58,445.63,445.71,445.58
2022-03-24 08:31:15,445.63,445.63,445.67,445.6
2022-03-24 08:31:20,445.63,445.65,445.66,445.61
2022-03-24 08:31:25,445.65,445.73,445.75,445.63
2022-03-24 08:31:30,445.73,445.7,445.75,445.66
2022-03-24 08:31:35,445.7,445.71,445.74,445.69
2022-03-24 08:31:40,445.71,445.63,445.71,445.6
2022-03-24 08:31:45,445.63,445.58,445.64,445.57
2022-03-24 08:31:50,445.58,445.56,445.59,445.53
2022-03-24 08:31:55,445.56,445.59,445.65,445.55
2022-03-24 08:32:00,445.59,445.66,445.71,445.59
2022-03-24 08:32:05,445.66,445.63,445.67,445.59
2022-03-24 08:32:10,445.63,445.62,445.71,445.62
2022-03-24 08:32:15,445.62,445.69,445.7,445.61
2022-03-24 08:32:20,445.69,445.7,445.76,445.65
2022-03-24 08:32:25,445.7,445.76,445.78,445.69
2022-03-24 08:32:30,445.76,445.77,445.78,445.75
2022-03-24 08:32:35,445.77,445.91,445.94,445.76
2022-03-24 08:32:40,445.91,446.03,446.03,445.9
2022-03-24 08:32:45,446.03,446.16,446.19,446.02
2022-03-24 08:32:50,446.16,446.2,446.23,446.15
2022-03-24 08:32:55,446.2,446.25,446.27,446.14
2022-03-24 08:33:00,446.25,446.15,446.31,446.12
2022-03-24 08:33:05,446.15,446.19,446.19,446.12
2022-03-24 08:33:10,446.19,446.18,446.2,446.12
2022-03-24 08:33:15,446.18,446.24,446.25,446.15
2022-03-24 08:33:20,446.24,446.3,446.34,446.23
2022-03-24 08:33:25,446.3,446.27,446.31,446.24
2022-03-24 08:33:30,446.27,446.25,446.29,446.22
2022-03-24 08:33:35,446.25,446.26,446.27,446.23
2022-03-24 08:33:40,446.26,446.28,446.29,446.23
2022-03-24 08:33:45,446.28,446.31,446.36,446.27
2022-03-24 08:33:50,446.31,446.28,446.31,446.25
2022-03-24 08:33:55,446.28,446.29,446.32,446.26
2022-03-24 08:34:00,446.29,446.26,446.3,446.23
2022-03-24 08:34:05,446.26,446.38,446.38,446.23
2022-03-24 08:34:10,446.38,446.45,446.49,446.38
2022-03-24 08:34:15,446.45,446.5,446.53,446.45
2022-03-24 08:34:20,446.5,446.46,446.53,446.45
2022-03-24 08:34:25,446.46,446.5,446.53,446.44
2022-03-24 08:34:30,446.5,446.55,446.56,446.49
2022-03-24 08:34:35,446.55,446.54,446.56,446.51
2022-03-24 08:34:40,446.54,446.55,446.57,446.54
2022-03-24 08:34:45,446.55,446.53,446.58,446.52
2022-03-24 08:34:50,446.53,446.53,446.57,446.52
2022-03-24 08:34:55,446.53,446.47,446.54,446.45
2022-03-24 08:35:00,446.47,446.53,446.53,446.46
2022-03-24 08:35:05,446.53,446.5,446.55,446.49
2022-03-24 08:35:10,446.5,446.48,446.51,446.46
2022-03-24 08:35:15,446.48,446.42,446.49,446.4
2022-03-24 08:35:20,446.42,446.4,446.44,446.37
2022-03-24 08:35:25,446.4,446.49,446.53,446.4
2022-03-24 08:35:30,446.49,446.56,446.57,446.49
2022-03-24 08:35:35,446.56,446.57,446.63,446.52
2022-03-24 08:35:40,446.57,446.62,446.63,446.56
2022-03-24 08:35:45,446.62,446.64,446.66,446.6
2022-03-24 08:35:50,446.64,446.61,446.66,446.6
2022-03-24 08:35:55,446.61,446.67,446.68,446.6
2022-03-24 08:36:00,446.67,446.57,446.67,446.51
2022-03-24 08:36:05,446.57,446.56,446.59,446.54
2022-03-24 08:36:10,446.56,446.54,446.56,446.5
2022-03-24 08:36:15,446.54,446.5,446.54,446.48
2022-03-24 08:36:20,446.5,446.51,446.54,446.5
2022-03-24 08:36:25,446.51,446.47,446.52,446.46
2022-03-24 08:36:30,446.47,446.51,446.54,446.47
2022-03-24 08:36:35,446.51,446.46,446.52,446.46
2022-03-24 08:36:40,446.46,446.44,446.48,446.41
2022-03-24 08:36:45,446.44,446.46,446.49,446.44
2022-03-24 08:36:50,446.46,446.42,446.47,446.42
2022-03-24 08:36:55,446.42,446.41,446.42,446.39
2022-03-24 08:37:00,446.41,446.38,446.45,446.36
2022-03-24 08:37:05,446.38,446.37,446.4,446.32
2022-03-24 08:37:10,446.37,446.36,446.38,446.33
2022-03-24 08:37:15,446.36,446.42,446.45,446.36
2022-03-24 08:37:20,446.42,446.4,446.42,446.37
2022-03-24 08:37:25,446.4,446.41,446.44,446.39
2022-03-24 08:37:30,446.41,446.47,446.47,446.4
2022-03-24 08:37:35,446.47,446.42,446.51,446.41
2022-03-24 08:37:40,446.42,446.36,446.43,446.35
2022-03-24 08:37:45,446.36,446.33,446.36,446.33
2022-03-24 08:37:50,446.33,446.32,446.34,446.29
2022-03-24 08:37:55,446.32,446.34,446.36,446.31
2022-03-24 08:38:00,446.34,446.3,446.35,446.3
2022-03-24 08:38:05,446.3,446.2,446.32,446.15
2022-03-24 08:38:10,446.2,446.19,446.21,446.16
2022-03-24 08:38:15,446.19,446.15,446.2,446.11
2022-03-24 08:38:20,446.15,446.07,446.16,446.05
2022-03-24 08:38:25,446.07,446.08,446.1,446.06
2022-03-24 08:38:30,446.08,446.09,446.1,446.05
2022-03-24 08:38:35,446.09,446.18,446.2,446.08
2022-03-24 08:38:40,446.18,446.16,446.19,446.12
2022-03-24 08:38:45,446.16,446.2,446.21,446.16
2022-03-24 08:38:50,446.2,446.12,446.21,446.1
2022-03-24 08:38:55,446.12,446.1,446.14,446.09
2022-03-24 08:39:00,446.1,446.15,446.15,446.09
2022-03-24 08:39:05,446.15,446.12,446.15,446.1
2022-03-24 08:39:10,446.12,446.09,446.12,446.09
2022-03-24 08:39:15,446.09,446.13,446.14,446.08
2022-03-24 08:39:20,446.13,446.14,446.16,446.09
2022-03-24 08:39:25,446.14,446.15,446.17,446.13
2022-03-24 08:39:30,446.15,446.16,446.17,446.15
2022-03-24 08:39:35,446.16,446.18,446.19,446.16
2022-03-24 08:39:40,446.18,446.16,446.18,446.15
2022-03-24 08:39:45,446.16,446.08,446.16,446.08
2022-03-24 08:39:50,446.08,446.11,446.11,446.08
2022-03-24 08:39:55,446.11,446.18,446.19,446.09
2022-03-24 08:40:00,446.18,446.22,446.23,446.18
2022-03-24 08:40:05,446.22,446.19,446.25,446.17
2022-03-24 08:40:10,446.19,446.18,446.25,446.15
